Date,PM2.5,PM10,Average CO (mg/m3),Average SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2021-11-12,6.22275,25.3565,0.2186454,1.0963309,24.9238129,27.5217266,360,2.9,344,12.4,315,2.2,19.9,14.6,53.0,29.1,12.8,-,-,-,-,-,-,1000.2,999.5,-,26.76,5104.8963133640555,352.5984848484849
2021-11-13,4.8685,12.009,0.245539,0.3441727,26.8668346,34.5652504,311,1.6,236,8.2,176,3.8,14.7,13.8,90.0,17.8,13.5,-,-,-,-,-,-,994.3,993.6,-,9.81,4540.929223744292,221.2025
2021-11-14,2.1955,4.562875,0.1876312,1.6795683,22.2896404,26.2552509,216,2.8,223,6.2,167,0.4,15.9,12.8,68.0,18.0,10.9,-,-,-,-,-,-,993.3,992.6,-,14.69,4526.7831050228315,253.1275
2021-11-15,3.172125,7.80225,0.2240638,1.8483453,31.8414383,35.4358292,39,1.1,310,10.8,267,0.0,16.9,13.8,69.0,24.4,12.4,-,-,-,-,-,-,996.6,995.9,-,25.97,5994.841013824885,588.3475
2021-11-16,1.939875,10.2125,,0.4527338,16.992878,25.7422295,281,3.8,296,16.0,332,0.0,17.4,11.1,41.0,21.0,12.5,-,-,-,-,-,-,994.2,993.5,-,30.41,6187.673640167364,590.5450450450451
2021-11-17,2.513625,9.588375,,2.031223,24.9500008,37.1016541,269,3.4,269,15.4,247,0.0,17.1,9.7,31.0,22.8,7.2,-,-,-,-,-,-,1002.5,1001.8,-,25.67,6314.9246861924685,599.1261261261261
2021-11-18,3.6571249999999997,12.014,,1.3723741,29.5308628,24.9289932,71,3.0,65,9.3,324,0.0,13.6,10.7,68.0,18.2,11.9,-,-,-,-,-,-,1019.0,1018.3,-,28.92,6388.8045267489715,595.3085585585585
2021-11-19,4.803714285714285,17.327714285714286,,3.4094118,31.3915825,26.7118702,43,4.0,61,9.8,223,0.0,16.7,11.9,53.0,20.1,11.6,-,-,-,-,-,-,1019.4,1018.7,-,31.18,6832.870833333333,606.4109589041096
2021-11-20,4.4234285714285715,16.252142857142857,,1.8776978,38.6370506,43.8393478,352,1.3,77,6.2,153,0.0,16.5,11.0,46.0,24.3,8.9,-,-,-,-,-,-,1014.8,1014.1,-,18.35,5473.7752100840335,292.684331797235
2021-11-21,3.8157500000000004,10.14275,,1.4677941,24.8360863,32.1689148,75,1.1,26,12.4,310,0.2,18.4,12.1,43.0,19.9,10.0,-,-,-,-,-,-,1012.2,1011.5,-,13.19,4677.777542372882,237.22558139534883
2021-11-22,4.119714285714286,10.189857142857145,,5.100438,16.8366909,25.8505039,239,3.2,230,10.3,222,0.6,13.1,12.4,92.0,18.8,12.0,-,-,-,-,-,-,1017.3,1016.6,-,21.44,6071.539094650206,578.5525114155251
2021-11-23,3.4681249999999997,8.162125,,0.9108633,35.31036,30.4415112,197,0.9,115,7.2,192,0.6,12.6,11.7,89.0,16.3,11.7,-,-,-,-,-,-,1021.9,1021.2,-,15.54,6369.1556016597515,602.4162790697675
2021-11-24,3.9578749999999996,11.819625,,0.7983453,31.0089684,26.7254753,68,2.5,53,8.8,323,0.0,15.9,12.9,69.0,19.7,10.5,-,-,-,-,-,-,1023.5,1022.8,-,29.38,6534.118257261411,604.4953051643192
2021-11-25,6.16975,19.87075,,2.1520863,28.097826,23.8400726,62,4.0,68,10.3,215,0.0,15.7,13.3,75.0,21.2,13.2,-,-,-,-,-,-,1020.2,1019.5,-,28.00,6711.508438818565,606.575117370892
2021-11-26,4.928625,21.2445,0.1274823,3.732446,30.5084896,34.8231659,86,1.1,266,10.3,281,0.0,21.2,13.2,35.0,29.5,9.3,-,-,-,-,-,-,1012.0,1011.3,-,27.62,7150.067510548523,606.9483568075117
2021-11-27,3.382875,7.037,0.1377305,0.7365468,16.1192799,22.2038136,211,3.4,163,9.3,219,12.2,14.7,12.8,79.0,15.4,14.1,-,-,-,-,-,-,1019.7,1019.0,-,9.32,5259.748971193416,268.31627906976746
2021-11-28,1.969125,4.689125,0.1196099,0.6130216,19.2841721,15.1091366,57,3.3,68,8.2,260,0.2,11.6,11.1,94.0,14.6,9.8,-,-,-,-,-,-,1024.0,1023.3,-,8.47,4513.148148148148,211.08837209302325
2021-11-29,3.546875,7.50575,0.1572727,3.7589209,29.0238132,17.667841,37,2.7,53,7.7,239,0.0,14.5,13.0,83.0,20.6,11.6,-,-,-,-,-,-,1019.7,1019.0,-,28.61,6069.8,592.7224880382776
2021-11-30,5.515375,12.70975,0.1133714,2.5694964,18.9209423,20.1960144,223,2.8,193,10.3,220,0.0,14.2,13.3,90.0,19.5,12.9,-,-,-,-,-,-,1017.2,1016.5,-,16.91,6270.171739130435,620.2655502392345
2021-12-01,3.9745,11.615875,0.1915674,1.261295,34.5433807,20.1974812,26,2.0,48,8.8,298,1.4,15.2,12.8,74.0,17.7,8.0,-,-,-,-,-,-,1025.7,1025.0,-,14.19,6381.860869565217,614.0334928229665
2021-12-02,5.032375,16.413125,0.1371702,1.6345324,25.6111507,14.3943167,46,3.4,68,11.8,383,0.8,13.6,13.2,95.0,17.3,12.8,-,-,-,-,-,-,1026.5,1025.8,-,12.55,6463.616379310345,602.9004739336493
2021-12-03,8.160222222222224,19.84111111111111,0.1856879,1.5494245,30.3614388,19.3457546,55,3.9,53,9.8,231,0.0,16.0,14.7,86.0,21.0,13.5,-,-,-,-,-,-,1020.2,1019.5,-,12.85,6767.9655172413795,601.3127962085308
2021-12-04,5.029,11.767000000000001,0.2289433,4.114964,35.2409363,30.5253963,10,0.9,10,8.2,228,0.0,20.9,16.7,63.0,30.4,16.0,-,-,-,-,-,-,1015.2,1014.5,-,24.94,5442.038626609442,286.7830188679245
2021-12-05,3.556777777777778,9.274222222222223,0.1206454,1.1991367,20.5521584,15.4874105,40,2.2,234,12.9,370,6.8,20.3,15.9,61.0,30.4,19.2,-,-,-,-,-,-,1009.4,1008.7,-,12.45,4716.040772532189,239.32783018867926
2021-12-06,4.3887777777777774,10.33088888888889,0.1544326,1.9354676,30.4485607,23.5476265,237,3.5,230,12.9,167,12.4,10.4,9.3,86.0,12.7,9.2,-,-,-,-,-,-,1024.5,1023.8,-,5.64,6028.1626213592235,589.4675675675676
2021-12-07,3.0308888888888887,7.582777777777778,0.1718794,2.2988489,36.2847481,28.911871,218,1.9,359,5.1,126,1.0,11.2,10.9,96.0,16.3,9.6,-,-,-,-,-,-,1023.2,1022.5,-,8.52,5996.3,576.5978835978837
2021-12-08,4.3244444444444445,12.288,0.164904,2.0530579,29.537735,18.0314846,43,2.5,62,10.8,301,0.0,16.2,14.4,81.0,19.2,10.3,-,-,-,-,-,-,1019.0,1018.3,-,24.57,6293.247596153846,624.1137566137567
2021-12-09,6.941888888888889,17.540777777777777,0.1858936,2.8117986,25.7894249,19.0325184,230,3.0,72,6.7,232,0.0,16.1,14.8,86.0,22.5,14.2,-,-,-,-,-,-,1015.2,1014.5,-,20.23,6452.651442307692,632.8333333333334
2021-12-10,3.8973333333333335,11.119666666666667,0.1623901,1.6090647,24.161438,13.7958269,226,2.6,98,9.8,302,1.2,16.2,14.1,78.0,18.0,14.3,-,-,-,-,-,-,1016.7,1016.0,-,11.83,6680.17316017316,599.1650943396227
2021-12-11,3.14525,7.323375,0.1084894,,11.8575535,7.9854674,223,3.0,216,11.8,258,0.4,16.4,15.8,94.0,19.4,14.8,-,-,-,-,-,-,1008.9,1008.2,-,10.71,5459.944444444444,262.29009433962267
2021-12-12,4.140375,12.31525,0.1343901,,19.7720871,11.620863,186,1.7,57,8.8,261,0.0,13.2,10.2,66.0,16.5,10.9,-,-,-,-,-,-,1022.8,1022.1,-,14.30,4949.143171806168,241.53971962616822
