Date,Daily Average CO (mg/m3),Daily Average NO (ug/m3),Daily Average NO2 (ug/m3),Daily Average SO2 (ug/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2023-01-21,0.1290142,16.9351807,11.6020145,,2.6,14.0791668,214,2.4,52,9.3,271,0.0,17.0,12.4,55.0,21.6,14.9,-,-,-,-,-,-,1012.8,1012.1,-,15.59,4842.819112627986,286.3478260869565
2023-01-22,0.0697021,8.0897846,7.1567626,,2.8875,13.7708333,30,2.1,172,10.3,248,0.2,18.9,14.6,60.0,24.3,14.2,-,-,-,-,-,-,1013.2,1012.5,-,31.44,5800.437269372694,590.5765957446808
2023-01-23,0.1496879,28.230072,16.1461143,,3.1083334,11.8416667,231,2.3,244,7.7,149,0.0,15.5,13.0,74.0,19.3,12.4,-,-,-,-,-,-,1020.7,1020.0,-,10.46,6097.141577060932,603.7978723404256
2023-01-24,0.1664853,34.8503685,18.6721478,,3.1583333,13.325,124,0.9,2,7.7,277,0.0,14.0,12.4,82.0,18.4,12.2,-,-,-,-,-,-,1022.3,1021.6,-,10.05,6276.268817204301,606.9531914893618
2023-01-25,0.1119362,24.7385616,14.2355394,,4.8166667,19.1041668,37,4.6,62,12.4,318,0.0,17.8,15.0,73.0,21.8,14.0,-,-,-,-,-,-,1023.6,1022.9,-,17.90,6328.780442804428,580.3384279475982
2023-01-26,0.1971135,30.3514576,23.5674305,,5.9833334,24.1500001,65,1.7,67,9.3,145,0.0,20.1,17.0,72.0,27.3,14.5,-,-,-,-,-,-,1019.8,1019.1,-,24.42,6601.89138576779,574.1911111111111
2023-01-27,0.1993786,34.7150002,23.4094124,,5.5249999,23.3374999,61,0.9,201,9.8,211,9.8,21.1,16.3,59.0,30.0,13.6,-,-,-,-,-,-,1012.5,1011.8,-,22.50,5208.823970037453,286.64444444444445
2023-01-28,0.1747589,26.526907,16.2982731,,3.925,16.5500001,227,1.8,69,6.2,159,0.0,16.2,14.3,80.0,18.8,13.8,-,-,-,-,-,-,1022.1,1021.4,-,9.03,4977.623595505618,291.22444444444443
2023-01-29,0.1180567,18.6364746,13.2202158,,2.575,8.8541666,30,1.3,69,8.8,232,0.0,16.5,14.5,79.0,24.6,11.7,-,-,-,-,-,-,1019.8,1019.1,-,23.12,5821.00553505535,573.3646288209607
2023-01-30,0.0935957,14.6590643,11.0456839,,4.6125,14.9833334,231,4.0,197,10.3,209,0.0,18.9,17.2,84.0,28.0,16.4,-,-,-,-,-,-,1017.6,1016.9,-,20.11,5800.15294117647,579.0232558139535
