Date (NZST), Nitrogen Dioxide 24 hr Average (ug/m3) (ug/m3), Data quality code
12/04/2019 00:00:00, 11.428, 200
13/04/2019 00:00:00, 6.537, 200
14/04/2019 00:00:00, 9.163, 200
15/04/2019 00:00:00, 9.642, 200
16/04/2019 00:00:00, 9.228, 200
18/04/2019 00:00:00, 0, 200
19/04/2019 00:00:00, 18.926, 200
20/04/2019 00:00:00, 12.712, 200
21/04/2019 00:00:00, 5.967, 200
22/04/2019 00:00:00, 14.365, 200
23/04/2019 00:00:00, 12.256, 200
24/04/2019 00:00:00, 12.23, 200
25/04/2019 00:00:00, 13.624, 200
26/04/2019 00:00:00, 8.954, 200
27/04/2019 00:00:00, 21.709, 200
28/04/2019 00:00:00, 4.269, 200
29/04/2019 00:00:00, 5.334, 200
30/04/2019 00:00:00, 8.587, 200
01/05/2019 00:00:00, 8.327, 200
02/05/2019 00:00:00, 18.608, 0
03/05/2019 00:00:00, 31.11, 0
04/05/2019 00:00:00, 27.776, 0
05/05/2019 00:00:00, 16.984, 0
06/05/2019 00:00:00, 10.734, 0
07/05/2019 00:00:00, 15.73, 0
08/05/2019 00:00:00, 34.881, 0
09/05/2019 00:00:00, 22.177, 0
10/05/2019 00:00:00, 13.425, 0
11/05/2019 00:00:00, 17.642, 0
12/05/2019 00:00:00, 9.092, 0
13/05/2019 00:00:00, 8.418, 0
14/05/2019 00:00:00, 15.079, 0
15/05/2019 00:00:00, 17.237, 0
16/05/2019 00:00:00, 8.237, 0
17/05/2019 00:00:00, 11.295, 0
18/05/2019 00:00:00, 16.703, 0
19/05/2019 00:00:00, 14.282, 0
20/05/2019 00:00:00, 15.901, 0
21/05/2019 00:00:00, 31.26, 0
22/05/2019 00:00:00, 28.505, 0
23/05/2019 00:00:00, 19.679, 0
24/05/2019 00:00:00, 33.544, 0
25/05/2019 00:00:00, 19.977, 0
26/05/2019 00:00:00, 8.01, 0
27/05/2019 00:00:00, 8.994, 0
28/05/2019 00:00:00, 8.029, 0
29/05/2019 00:00:00, 18.578, 0
30/05/2019 00:00:00, 6.252, 0
31/05/2019 00:00:00, 5.989, 0
01/06/2019 00:00:00, 14.039, 0
02/06/2019 00:00:00, 4.843, 0
03/06/2019 00:00:00, 2.84, 0
04/06/2019 00:00:00, 10.308, 0
05/06/2019 00:00:00, 9.855, 0
06/06/2019 00:00:00, 15.954, 0
07/06/2019 00:00:00, 15.603, 0
08/06/2019 00:00:00, 14.067, 0
09/06/2019 00:00:00, 14.236, 0
10/06/2019 00:00:00, 10.25, 0
11/06/2019 00:00:00, 30.68, 0
12/06/2019 00:00:00, 9.654, 0
13/06/2019 00:00:00, 20.291, 0
14/06/2019 00:00:00, 8.537, 0
15/06/2019 00:00:00, 21.342, 0
16/06/2019 00:00:00, 16.614, 0
17/06/2019 00:00:00, 18.742, 0
18/06/2019 00:00:00, 16.073, 0
19/06/2019 00:00:00, 13.908, 0
20/06/2019 00:00:00, 26.578, 0
21/06/2019 00:00:00, 31.473, 0
22/06/2019 00:00:00, 12.287, 0
23/06/2019 00:00:00, 25.826, 0
24/06/2019 00:00:00, 9.067, 0
25/06/2019 00:00:00, 10.215, 0
26/06/2019 00:00:00, 18.306, 0
27/06/2019 00:00:00, 30.32, 0
28/06/2019 00:00:00, 21.272, 0
29/06/2019 00:00:00, 25.07, 0
30/06/2019 00:00:00, 10.882, 0
01/07/2019 00:00:00, 20.729, 0
02/07/2019 00:00:00, 16.615, 200
03/07/2019 00:00:00, 17.254, 200
04/07/2019 00:00:00, 8.301, 200
05/07/2019 00:00:00, 11.802, 200
06/07/2019 00:00:00, 5.403, 200
07/07/2019 00:00:00, 4.325, 200
08/07/2019 00:00:00, 12.37, 200
09/07/2019 00:00:00, 21.989, 200
10/07/2019 00:00:00, 24.585, 200
11/07/2019 00:00:00, 13.84, 200
12/07/2019 00:00:00, 10.706, 200
13/07/2019 00:00:00, 12.331, 200
14/07/2019 00:00:00, 6.421, 200
15/07/2019 00:00:00, 5.16, 200
16/07/2019 00:00:00, 13.583, 200
17/07/2019 00:00:00, 10.773, 200
18/07/2019 00:00:00, 11.584, 200
19/07/2019 00:00:00, 10.962, 200
20/07/2019 00:00:00, 30.241, 200
21/07/2019 00:00:00, 16.802, 200
22/07/2019 00:00:00, 17.006, 200
23/07/2019 00:00:00, 24.044, 200
24/07/2019 00:00:00, 21.32, 200
25/07/2019 00:00:00, 27.046, 200
26/07/2019 00:00:00, 21.511, 200
27/07/2019 00:00:00, 24.911, 200
28/07/2019 00:00:00, 13.445, 200
29/07/2019 00:00:00, 12.081, 200
30/07/2019 00:00:00, 24.318, 200
31/07/2019 00:00:00, 19.623, 200
01/08/2019 00:00:00, 8.844, 200
02/08/2019 00:00:00, 12.902, 200
03/08/2019 00:00:00, 12.606, 200
04/08/2019 00:00:00, 8.852, 200
05/08/2019 00:00:00, 7.133, 200
06/08/2019 00:00:00, 14.165, 200
07/08/2019 00:00:00, 25.536, 200
08/08/2019 00:00:00, 17.335, 200
09/08/2019 00:00:00, 11.275, 200
10/08/2019 00:00:00, 17.671, 200
11/08/2019 00:00:00, 17.003, 200
12/08/2019 00:00:00, 10.487, 200
13/08/2019 00:00:00, 20.299, 200
14/08/2019 00:00:00, 12.34, 200
15/08/2019 00:00:00, 15.897, 200
16/08/2019 00:00:00, 27.687, 200
17/08/2019 00:00:00, 14.793, 200
18/08/2019 00:00:00, 6.042, 200
19/08/2019 00:00:00, 8.437, 200
20/08/2019 00:00:00, 18.435, 200
21/08/2019 00:00:00, 12.987, 200
22/08/2019 00:00:00, 22.264, 200
23/08/2019 00:00:00, 10.925, 200
24/08/2019 00:00:00, 18.049, 200
25/08/2019 00:00:00, 11.466, 200
26/08/2019 00:00:00, 11.315, 200
27/08/2019 00:00:00, 10.236, 200
28/08/2019 00:00:00, 20.733, 200
29/08/2019 00:00:00, 23.592, 200
30/08/2019 00:00:00, 11.04, 200
31/08/2019 00:00:00, 23.318, 200
01/09/2019 00:00:00, 21.184, 200
02/09/2019 00:00:00, 12.544, 200
03/09/2019 00:00:00, 17.691, 200
04/09/2019 00:00:00, 21.2, 200
05/09/2019 00:00:00, 20.268, 200
06/09/2019 00:00:00, 11.079, 200
07/09/2019 00:00:00, 6.943, 200
08/09/2019 00:00:00, 8.57, 200
09/09/2019 00:00:00, 9.783, 200
10/09/2019 00:00:00, 8.253, 200
11/09/2019 00:00:00, 18.018, 200
12/09/2019 00:00:00, 19.8, 200
13/09/2019 00:00:00, 17.914, 200
14/09/2019 00:00:00, 7.692, 200
15/09/2019 00:00:00, 15.562, 200
16/09/2019 00:00:00, 12.671, 200
17/09/2019 00:00:00, 9.901, 200
18/09/2019 00:00:00, 11.924, 200
19/09/2019 00:00:00, 22.269, 200
20/09/2019 00:00:00, 22.99, 200
21/09/2019 00:00:00, 12.754, 200
22/09/2019 00:00:00, 13.849, 200
23/09/2019 00:00:00, 13.003, 200
24/09/2019 00:00:00, 5.863, 200
25/09/2019 00:00:00, 14.311, 200
26/09/2019 00:00:00, 10.253, 200
27/09/2019 00:00:00, 8.184, 200
28/09/2019 00:00:00, 18.073, 200
29/09/2019 00:00:00, 7.07, 200
30/09/2019 00:00:00, 3.443, 200
01/10/2019 00:00:00, 7.439, 200
02/10/2019 00:00:00, 11.56, 200
03/10/2019 00:00:00, 7.268, 200
04/10/2019 00:00:00, 8.789, 200
05/10/2019 00:00:00, 13.668, 200
06/10/2019 00:00:00, 5.312, 200
07/10/2019 00:00:00, 7.691, 200
08/10/2019 00:00:00, 11.03, 200
09/10/2019 00:00:00, 6.652, 200
10/10/2019 00:00:00, 6.018, 200
11/10/2019 00:00:00, 11.959, 200
12/10/2019 00:00:00, 16.282, 200
13/10/2019 00:00:00, 9.635, 200
14/10/2019 00:00:00, 6.456, 200
15/10/2019 00:00:00, 11.733, 200
16/10/2019 00:00:00, 9.066, 200
17/10/2019 00:00:00, 8.334, 200
18/10/2019 00:00:00, 17.218, 200
19/10/2019 00:00:00, 10.036, 200
20/10/2019 00:00:00, 9.868, 200
21/10/2019 00:00:00, 9.642, 200
22/10/2019 00:00:00, 7.684, 200
