Date,Daily Average NO2 (ug/m3),Daily Average O3 (ug/m3),Daily Average CO (mg/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2020-03-24,9.159791666666667,20.495375,0.12175000000000001,3.7172916666666667,6.349458333333334,68,1.5,263,16.0,165,0.0,8.4,6.6,75.0,17.0,5.8,4.7,-,13.6,16.0,-,17.7,1006.1,1000.0,9.4,16.87,6170.382629107981,330.1024096385542
2020-03-25,11.289416666666668,12.868291666666666,0.12229166666666667,3.898142857142857,5.899041666666666,73,0.7,312,8.2,212,0.2,6.2,6.0,97.0,21.1,1.5,-2.2,-,11.1,14.4,-,17.7,1015.3,1009.1,10.8,18.18,1791.4905660377358,152.5
2020-03-26,2.255,19.792458333333332,0.04160869565217391,3.2933749999999997,8.217916666666666,52,1.9,330,13.9,384,2.0,14.5,12.2,75.0,19.0,6.2,9.9,-,15.0,16.1,-,17.6,1015.8,1009.8,4.1,11.70,1784.0825471698113,131.640243902439
2020-03-27,4.2165,19.551083333333334,0.043833333333333335,3.1481250000000003,8.361916666666668,36,2.1,343,9.8,318,41.0,13.1,11.9,86.0,19.7,12.8,12.4,-,15.4,16.3,-,17.5,1014.6,1008.6,2.7,9.13,915.8561320754717,57.176829268292686
2020-03-28,1.2995416666666666,20.620458333333332,0.04295833333333333,5.023708333333333,10.275166666666667,229,7.0,216,13.9,408,9.0,11.0,10.1,89.0,13.4,10.5,9.9,-,13.0,14.9,-,17.4,1019.4,1013.3,0.1,5.99,832.058962264151,40.55487804878049
2020-03-29,2.283208333333333,19.461291666666668,0.05791304347826087,3.6494583333333335,9.545208333333333,219,4.2,232,10.8,143,4.8,11.4,10.3,86.0,17.9,10.4,9.9,-,12.8,14.2,-,17.3,1024.0,1017.9,3.0,6.94,1732.252358490566,93.26219512195122
2020-03-30,6.746833333333334,13.683124999999999,0.08600000000000001,1.5894166666666667,4.068791666666667,55,0.5,107,12.4,234,3.0,9.7,9.6,99.0,19.8,7.6,6.3,-,13.1,14.6,-,17.2,1023.7,1017.5,5.1,11.65,1783.3915094339623,108.0
2020-03-31,3.4616666666666664,17.218416666666666,0.04395833333333333,2.07625,3.2823333333333333,357,0.4,226,9.8,136,0.0,12.9,12.7,98.0,20.6,9.6,9.7,-,14.6,15.6,-,17.0,1020.8,1014.7,5.3,10.54,1862.686320754717,111.64024390243902
2020-04-01,7.156347826086956,12.629416666666666,0.059416666666666666,3.4914583333333336,4.6175,69,0.8,271,7.2,176,0.0,8.8,8.7,98.0,21.4,8.5,6.2,-,14.6,15.7,-,17.0,1020.2,1014.0,9.8,16.35,1847.4150943396226,115.2439024390244
2020-04-02,2.983916666666667,18.375541666666667,0.04029166666666666,0.781125,1.5741250000000002,197,1.1,241,9.3,165,0.0,11.7,10.7,88.0,19.1,8.8,8.1,-,15.2,16.3,-,17.0,1020.6,1014.5,9.1,14.85,1843.3042452830189,110.95731707317073
